Enumeration value,Description
{5B201335-B360-485C-BB93-75C34E09B3D3},Aggregate Component
{4FCE8297-9C65-40A9-9D60-00C5CC6BC283},Audit Component
{BF818E79-2C1C-410D-ADEA-B2D1A04FED01},Cache Transform Component
{C86C867A-7D40-486A-8734-F0B6943A9DD4},Character Map Component
{7F88F654-4E20-4D14-84F4-AF9C925D3087},Conditional Split Component
{D231ABC4-4754-481B-8F7A-CD4BD8D09832},Copy Column Component
{62B1106C-7DB8-4EC8-ADD6-4C664DFFC54A},Data Conversion Component
{CBDFF0CC-3758-4424-A431-3C2E103069AA},Data Mining Query Component
{49928E82-9C4E-49F0-AABE-3812B82707EC},Derived Column Component
{A9823821-0085-4483-952F-36277F63FFC5},Export Column Component
{836E0D0B-0358-45B4-B888-4ADCE9356D4E},Fuzzy Grouping Component
{E4A5F949-EC93-45AB-8B36-B52936257EC2},Fuzzy Lookup Component
{9053CAE0-140B-48E4-AEEC-4E6A26E9E436},Import Column Component
{671046B0-AA63-4C9F-90E4-C06E0B710CE3},Lookup Component
{36E0E750-2510-4776-AA6E-17EAE84FD63E},Merge Component
{14D43A4F-D7BD-489D-829E-6DE35750CFE4},MergeJoin Component
{EC139FBC-694E-490B-8EA7-35690FB0F445},Multicast Component
{93FFEC66-CBC8-4C7F-9C6A-CB1C17A7567D},OLE DB Command Component
{05322586-D434-4593-8BE4-8CFC766D9C8B},Percentage Sampling Component
{AEB2AFAE-2201-48B1-B290-42BB8C9149DD},Pivot Component
{E2697D8C-70DA-42B2-8208-A19CE3A9FE41},RowCount Component
{284A868A-7C3D-498C-ABBF-028CEF6AB288},Row Sampling Component
{874F7595-FB5F-40FF-96AF-FBFF8250E3EF},Script Type Component
{25BBB0C5-369B-4303-B3DF-D0DC741DEE58},Slowly Changing Dimension Component
{5B1A3FF5-D366-4D75-AD1F-F19A36FCBEDB},Sort Component
{056F53D1-8081-4D07-8134-1D4DAC244BB2},Term Extraction Component
{ACCC729A-823D-49A7-B16D-F1999AEB1D4C},Term Lookup Component
{B594E9A8-4351-4939-891C-CFE1AB93E925},Union All Component
{B8B094A9-8809-4E06-8874-5C55606A9FDF},Unpivot Component
{1F5D5712-2FBA-4CB9-A95A-86C1F336E1DA},Excel Destination Component
{8DA75FED-1B7C-407D-B2AD-2B24209CCCA4},Flat File Destination Component
{4ADA7EAA-136C-4215-8098-D7A7C27FC0D1},OLE DB Destination Component
{3D9FFAE9-B89B-43D9-80C8-B97D2740C746},Data Mining Model Training Destination Component
{2C2F0891-3AAA-4865-A676-D7476FE4CE90},Dimension Processing Destination Component
{DA510FB7-E3A8-4D96-9F59-55E15E67FE3D},Partition Processing Destination Component
{04762BB6-892F-4EE6-AD46-9CEB0A7EC7A2},Raw File Destination Component
{C457FD7E-CE98-4C4B-AEFE-F3AE0044F181},RecordSet Destination Component
{F452EAF3-5EF0-43F1-8067-09DDF0BC6316},SQL Server Destination Component
{8C084929-27D1-479F-9641-ABB7CDADF1AC},Excel Source Component
{D23FD76B-F51D-420F-BBCB-19CBF6AC1AB4},Flat File Source Component
{165A526D-D5DE-47FF-96A6-F8274C19826B},OLE DB Source Component
{480C7D5A-CE63-405C-B338-3C7F26560EE3},Raw File Source Component
